term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
requires high,2,0,5.4705900819237,0.5457032217010385
follow self-interest,2,0,5.4705900819237,0.5457032217010385
level considering,2,0,5.4705900819237,0.5457032217010385
choose significant,2,0,5.4705900819237,0.5457032217010385
budget maximizes,2,0,5.4705900819237,0.5457032217010385
payoff maintaining,2,0,5.4705900819237,0.5457032217010385
higher cumulative,2,0,5.4705900819237,0.5457032217010385
strategy inclusion,2,0,5.4705900819237,0.5457032217010385
expected behavior,2,0,5.4705900819237,0.5457032217010385
deviated sfi,2,0,5.4705900819237,0.5457032217010385
mcpr set,2,0,5.4705900819237,0.5457032217010385
beliefs contribution,2,0,5.4705900819237,0.5457032217010385
contribute similar,2,0,5.4705900819237,0.5457032217010385
impact cumulative,2,0,5.4705900819237,0.5457032217010385
behavior maximizes,2,0,5.4705900819237,0.5457032217010385
mcpr much,2,0,5.4705900819237,0.5457032217010385
institution cooperate,2,0,5.4705900819237,0.5457032217010385
long-term benefits,2,0,5.4705900819237,0.5457032217010385
notable peers,2,0,5.4705900819237,0.5457032217010385
level similar,2,0,5.4705900819237,0.5457032217010385
self-interest strategy,2,0,5.4705900819237,0.5457032217010385
incentivization framework,2,0,5.4705900819237,0.5457032217010385
high-contributing peers,2,0,5.4705900819237,0.5457032217010385
wealth significant,2,0,5.4705900819237,0.5457032217010385
interests need,2,0,5.4705900819237,0.5457032217010385
substantial amount,2,0,5.4705900819237,0.5457032217010385
over-contributing aligns,2,0,5.4705900819237,0.5457032217010385
low others,2,0,5.4705900819237,0.5457032217010385
peer deviated,2,0,5.4705900819237,0.5457032217010385
balancing cooperate,2,0,5.4705900819237,0.5457032217010385
reduce emissions,2,0,5.4705900819237,0.5457032217010385
strategy either,2,0,5.4705900819237,0.5457032217010385
others follow,2,0,5.4705900819237,0.5457032217010385
interests considering,2,0,5.4705900819237,0.5457032217010385
received payoff,2,0,5.4705900819237,0.5457032217010385
peers mostly,2,0,5.4705900819237,0.5457032217010385
collective action,2,0,5.4705900819237,0.5457032217010385
return group,2,0,5.4705900819237,0.5457032217010385
reduction given,2,0,5.4705900819237,0.5457032217010385
allowed advantage,2,0,5.4705900819237,0.5457032217010385
maximizes current,2,0,5.4705900819237,0.5457032217010385
want maintain,2,0,5.4705900819237,0.5457032217010385
balancing between,2,0,5.4705900819237,0.5457032217010385
observed sfi,2,0,5.4705900819237,0.5457032217010385
full budget,2,0,5.4705900819237,0.5457032217010385
considering long-term,2,0,5.4705900819237,0.5457032217010385
institution interaction,2,0,5.4705900819237,0.5457032217010385
emissions choose,2,0,5.4705900819237,0.5457032217010385
behavior allows,2,0,5.4705900819237,0.5457032217010385
low-contributors use,2,0,5.4705900819237,0.5457032217010385
funds stage,2,0,5.4705900819237,0.5457032217010385
potential long-term,2,0,5.4705900819237,0.5457032217010385
small amount,2,0,5.4705900819237,0.5457032217010385
between individual,2,0,5.4705900819237,0.5457032217010385
simple funding,2,0,5.4705900819237,0.5457032217010385
contribute full,2,0,5.4705900819237,0.5457032217010385
justify significant,2,0,5.4705900819237,0.5457032217010385
individual interests,2,0,5.4705900819237,0.5457032217010385
behavior historical,2,0,5.4705900819237,0.5457032217010385
contribute free-rider,2,0,5.4705900819237,0.5457032217010385
enough benefit,2,0,5.4705900819237,0.5457032217010385
emissions contribution,2,0,5.4705900819237,0.5457032217010385
credibility minimizing,2,0,5.4705900819237,0.5457032217010385
peers framework,2,0,5.4705900819237,0.5457032217010385
strategy considering,2,0,5.4705900819237,0.5457032217010385
beliefs contributors,2,0,5.4705900819237,0.5457032217010385
align peers,2,0,5.4705900819237,0.5457032217010385
self-interest institution,2,0,5.4705900819237,0.5457032217010385
maintaining high,2,0,5.4705900819237,0.5457032217010385
payoff institution,2,0,5.4705900819237,0.5457032217010385
developed country,2,0,5.4705900819237,0.5457032217010385
zero self-interested,2,0,5.4705900819237,0.5457032217010385
behavior maximizing,2,0,5.4705900819237,0.5457032217010385
choice maximize,2,0,5.4705900819237,0.5457032217010385
cooperate peers,2,0,5.4705900819237,0.5457032217010385
either sfi,2,0,5.4705900819237,0.5457032217010385
mcpr over-contributing,2,0,5.4705900819237,0.5457032217010385
common low,1,0,4.782285900960702,0.4758785582324755
well-being interests,1,0,4.782285900960702,0.4758785582324755
allows balance,1,0,4.782285900960702,0.4758785582324755
much depletes,1,0,4.782285900960702,0.4758785582324755
contributors strong,1,0,4.782285900960702,0.4758785582324755
observed many,1,0,4.782285900960702,0.4758785582324755
significantly group,1,0,4.782285900960702,0.4758785582324755
funding initiative,1,0,4.782285900960702,0.4758785582324755
usd choosing,1,0,4.782285900960702,0.4758785582324755
interests institution,1,0,4.782285900960702,0.4758785582324755
reward effect,1,0,4.782285900960702,0.4758785582324755
consistency follow,1,0,4.782285900960702,0.4758785582324755
data conclude,1,0,4.782285900960702,0.4758785582324755
history considering,1,0,4.782285900960702,0.4758785582324755
behavior members,1,0,4.782285900960702,0.4758785582324755
takes account,1,0,4.782285900960702,0.4758785582324755
avoiding excessive,1,0,4.782285900960702,0.4758785582324755
free-ride contribute,1,0,4.782285900960702,0.4758785582324755
